Ukprn,Name,ApplicationType,StartDate,Status,ApplicationDeterminedDate
10091927,ELECTRIC MAYONNAISE LTD,Main provider,17/11/2023,,31/08/2023
10046146,ACADEMY TRAINING LTD,Main provider,27/08/2020,,30/06/2022
10007928,SOUTH HAMPSHIRE COLLEGE GROUP,Main provider,13/03/2017,,26/01/2022
10004511,NATIONAL FILM AND TELEVISION SCHOOL(THE) T/A The National Film and Television School,Main provider,03/11/2023,,31/08/2023
10046003,COLEGRAVE PRIMARY SCHOOL T/A School Centred Initial Teacher Training in East London Schools (SCITTELS),Main provider,03/11/2023,,31/08/2023
10022673,THE CHARTERED INSTITUTE OF BUILDING,Main provider,03/11/2023,,31/08/2023
10063259,BLUELIGHTSDIGITAL LTD T/A Blue Lights Digital,Main provider,03/11/2023,,28/07/2023
10004694,NORTH LINCOLNSHIRE COUNCIL,Employer provider,13/10/2023,,26/09/2023
10008243,FREIGHT TRANSPORT ASSOCIATION LIMITED T/A Logistics UK,Main provider,13/10/2023,,26/09/2023
10089621,CAVITY DENTAL TRAINING LIMITED T/A Cavity Training,Main provider,06/10/2023,,28/07/2023
10056024,CANINE GROOM SCHOOL LTD,Main provider,29/09/2023,,31/08/2023
10092569,NATIONAL UPSKILL LIMITED T/A National Upskill,Main provider,29/09/2023,,31/08/2023
10092745,IOEX LTD,Main provider,20/09/2023,,31/08/2023
10088850,THE S&A TRANSFORM GROUP LIMITED,Main provider,28/01/2022,,30/08/2022
10047966,LEARNING AND DEVELOPMENT BUREAU LTD,Main provider,17/05/2017,Not Currently Starting New Apprentices,24/02/2022
10092406,GAME-ON COACHING LIMITED T/A The Marketing Trainer,Main provider,15/09/2023,,28/07/2023
10082469,MADE TECH LIMITED,Main provider,15/09/2023,,28/07/2023
10028607,KLM UK ENGINEERING LIMITED,Main provider,15/09/2023,,10/07/2023
10003645,KING'S COLLEGE LONDON,Main provider,07/09/2023,,26/04/2023
10048831,JS CONSULT LIMITED,Main provider,31/07/2020,,31/05/2022
10000080,ACCESS FURTHER EDUCATION LIMITED,Main provider,20/12/2019,,31/03/2022
10034865,DOVE HOUSE ACADEMY T/A Basingstoke Alliance Scitt,Main provider,16/04/2018,,28/07/2022
10084678,CHILDBASE PARTNERSHIP LIMITED,Main provider,29/10/2020,,31/08/2023
10090278,STORYY TRAINING LIMITED,Main provider,05/04/2023,,01/03/2023
10089638,DIAMOND PEOPLE (NE) LIMITED T/A Tyneside Training Services,Main provider,29/06/2022,,31/05/2022
10054307,RED KITE LEARNING TRUST T/A Red Kite Learning Trust (Academy Trust),Main provider,28/07/2023,,28/06/2023
10092067,GO NORTH WEST LIMITED,Supporting provider,28/07/2023,,28/07/2023
10091949,FIRST ESSEX BUSES LIMITED,Supporting provider,28/07/2023,,28/07/2023
10092613,MUTI IMMERSIVE LTD,Supporting provider,28/07/2023,,28/07/2023
10092263,ESSEX & THAMES EDUCATION T/A Essex and Thames SCITT,Main provider,14/07/2023,,26/04/2023
10049084,NATS (EN ROUTE) PUBLIC LIMITED COMPANY,Employer provider,14/07/2023,,26/05/2023
10083232,MONTESSORI APPRENTICE ACADEMY T/A The Learning Triangle,Main provider,22/12/2022,,28/07/2022
10026134,CALL OF THE WILD (DEVELOPMENT) LTD T/A Call of the Wild Development,Main provider,26/01/2022,,22/12/2021
10089853,M & J GROUP (CONSTRUCTION & ROOFING) LTD,Employer provider,30/06/2023,,26/05/2023
10053301,BELLEVUE EDUCATION INTERNATIONAL LIMITED,Main provider,29/06/2023,,26/04/2023
10033482,E-CAREERS EDUCATION LIMITED T/A Consortia Training,Main provider,13/03/2017,,28/06/2023
10091948,FIRST WEST YORKSHIRE LIMITED,Supporting provider,28/06/2023,,28/06/2023
10091384,CLEVELAND FIRE BRIGADE,Supporting provider,28/06/2023,,28/06/2023
10029105,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,Supporting provider,28/06/2023,,28/06/2023
10092400,OCTAVIUS LEARNING AND DEVELOPMENT LIMITED PARTNERSHIP,Main provider,16/06/2023,,26/04/2023
10041332,NHS ENGLAND NORTH EAST AND YORKSHIRE,Main provider,17/05/2017,,31/05/2022
10012772,HIS MAJESTY'S REVENUE AND CUSTOMS (HMRC),Employer provider,13/03/2017,,28/07/2022
10081735,THE CHILTERN RAILWAY COMPANY LIMITED,Supporting provider,26/05/2023,,26/05/2023
10023516,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST T/A EPUT,Main provider,15/09/2017,,26/05/2023
10036772,LAWTONASH TRAINING SERVICES LTD T/A Lawtonash Training Services,Supporting provider,30/01/2018,,26/01/2022
10091470,CONSTRUCT TRAINING SERVICES LIMITED,Main provider,25/05/2023,,29/03/2023
10038874,CHANNICOOL TRAINING SERVICES LIMITED,Main provider,18/05/2023,,29/03/2023
10031127,KINGDOM ACADEMY LIMITED,Main provider,13/03/2017,,31/05/2022
10063869,ISALES ACADEMY LIMITED,Main provider,27/04/2023,,31/01/2023
10042222,THE CLINK RESTAURANT COMPANY LIMITED T/A The Clink Restaurant Company Ltd,Supporting provider,26/04/2023,,26/04/2023
10000285,COLLINGE & CO TRAINING LIMITED,Main provider,13/03/2017,,22/12/2021
10090839,SCHOOL-LED DEVELOPMENT TRUST T/A National Institute of Teaching,Main provider,21/04/2023,,27/02/2023
10040476,SWIFT ACI,Main provider,17/05/2017,,22/12/2021
10045879,ROBERT BOSCH LIMITED T/A Robert Bosch Ltd,Main provider,13/04/2023,,01/03/2023
10065724,HIDDEN HEARING LIMITED T/A Hidden Hearing Ltd,Employer provider,13/04/2023,,01/03/2023
10043841,PROFESSIONAL QUALITY MANAGEMENT SERVICES LIMITED T/A Professional Quality Management Services Ltd,Main provider,27/11/2019,,30/06/2022
10082272,TRAILFINDERS LIMITED,Employer provider,06/04/2023,,01/03/2023
10029265,100% EFFECTIVE LIMITED,Main provider,31/03/2023,,01/03/2023
10009356,LAVENDER INTERNATIONAL NDT CONSULTANCY SERVICES LIMITED,Main provider,31/03/2023,,01/03/2023
